Title,URL,Snippets,Location,Category,Award,Date
AHRQ Conference Grant Programs (R13),https://grants.gov/search-results-detail/343175,"The Agency for Healthcare Research and Quality (AHRQ) announces its interest in supporting conferences through the AHRQ Single-Year and Multiple-Year Conference grant programs (R13). AHRQ seeks to support conferences that help further its mission to produce evidence to make health care safer, higher quality, more accessible, equitable and affordable, and to work with HHS and other partners to make sure the evidence is understood and used (http://www.ahrq.gov/funding/policies/foaguidance/index.html).",Nationwide,Health,50000,"Oct 31, 2026 12:00:00 AM EDT"
Apply for a NABDI Grant | Indian Affairs,https://www.bia.gov/service/grants/nabdi/apply-nabdi-grant,"For 2022, we plan to award 20-35 grants. The ceiling for the award is $75,000 and the floor is $25,000. All NABDI projects must be completed within one year unless a no-cost extension is provided by the awarding official. NABDI grants are discretionary and go through a competitive evaluation process.",Indiana,Government Organization Grants,,
Innovative Approaches to Studying Cancer Communication in the New Information Ecosystem (R01 Clinical Trial Optional),https://grants.gov/search-results-detail/341108,"Through this Funding Opportunity Announcement (FOA), the National Cancer Institute (NCI) announces its interest in supporting meritorious research projects in three distinct domains related to cancer communication: 1) the utility and application of new cancer communication surveillance approaches; 2) the development and testing of rapid cancer communication interventions using innovative methods and designs; and 3) the development and testing of multilevel cancer communication models emphasizing bidirectional influence between levels. For such projects, applicants should apply communication science approaches to the investigation of behavioral targets and health outcomes related to cancer prevention and control. Applications should utilize one or more innovative communication research methodologies.",Nationwide,Education,500000,"Sep 07, 2025 12:00:00 AM EDT"
Early Stage Testing of Pharmacologic or Device-based Interventions for the Treatment of Mental Disorders (R61/R33 Clinical Trial Required),https://grants.gov/search-results-detail/331858,"This is a reissue of RFA-MH-18-702: Early Stage Testing of Pharmacologic or Device-based Interventions for the Treatment of Mental Disorders (R61/R33- Clinical Trial Required). NIMH requires an experimental therapeutics approach for the development and testing of therapeutic interventions, in which studies both evaluate the clinical effect of an intervention and generate information about the mechanisms underlying a disorder or an intervention response. As part of NIMHs Clinical Trial Pipeline, this FOA encourages early stage testing of pharmacologic interventions with novel mechanisms of actions or device-based interventions. More specifically, this FOA is intended to support early stage testing of pharmacologic or device-based interventions using a protocol design where the presumed mechanism of action of the intervention is adequately tested, to provide meaningful information where target modulation yields a dose-dependent neurophysiological/clinical/behavioral effect.",Nationwide,Health,none,"Oct 15, 2024 12:00:00 AM EDT"
Climate Program Office (CPO) Adaptation Sciences Program FY2024,https://grants.gov/search-results-detail/351083,"The Adaptation Sciences (AdSci) program, an interdisciplinary research and engagement program, is housed in the NOAA Climate Program Office’s (CPO’s) Climate and Societal Interactions (CSI) Division. The AdSci program advances the knowledge, methods, and frameworks needed to move society beyond incremental adaptation toward more widespread, connected, and transformative adaptive pathways and resilience strategies with clear economic, social, cultural and environmental co-benefits. This work is conducted through a combination of dedicated partnerships that support capacity building and engagement activities, and competitive research awards designed to address key knowledge and information needs. Given the global complexities involved in climate impacts and society’s adaptive strategies, the AdSci program supports work both within and outside of the United States.  AdSci has two core objectives:  *Developing an understanding of key drivers and conditions that shape and enable adaptation across multiple temporal and spatial scales, in particular geographies and settings where this knowledge can be practically applied to efforts to reduce risk and enhance resilience in equitable ways; and  *Identifying key aspects of and promoting opportunities for the use of scientific information to best support preparedness and planned adaptation of high value to social and economic goals.Learn more about AdSci at https://cpo.noaa.gov/AdSci.Through the FY24 Notice of Funding Opportunity (NOFO), the AdSci Program is soliciting applications for two competitions:  1. Evidence-building, Evaluation and Learning Approaches to Support Adaptation to a Changing Climate  2. Developing a Social Science Research Agenda to Support Adaptation and Resilience",Nationwide,Business and Commerce,300000,"Mar 20, 2024 12:00:00 AM EDT"
Dissemination and Implementation Research in Health (R01 Clinical Trial Optional),https://grants.gov/search-results-detail/340228,"The purpose of this Funding Opportunity Announcement (FOA) is to support studies that will identify, develop, and/or test strategies for overcoming barriers to the adoption, adaptation, integration, scale-up, and sustainability of evidence-based interventions, practices, programs, tools, treatments, guidelines, and policies. Studies that promote equitable dissemination and implementation of evidence-based interventions among underrepresented communities are encouraged. Conversely, there is a benefit in understanding circumstances that create a need to stop or reduce (de-implement) the use of practices that are ineffective, unproven, low-value, or harmful. In addition, studies to advance dissemination and implementation research methods and measures are encouraged. All applications must be within the scope of the mission of one of the Institutes/Centers listed above.",Nationwide,Education,none,"May 07, 2025 12:00:00 AM EDT"
Omics Phenotypes Related to Down Syndrome for the INCLUDE Project (X01 Clinical Trial Not Allowed),https://grants.gov/search-results-detail/351318,"This Notice of Funding Opportunity (NOFO) invites applications to usethe NIH INCLUDE Project (INvestigation of Co-occurring conditions across the Lifespan to Understand Down syndromE) to access resources to generate a large volume of integrated genomic and multi-omics data to facilitate discovery of the molecular mechanisms of health conditions related to Down syndrome. These data, and associated clinical and phenotypic data, will become part of the INCLUDE Project data resource for sharing with the research community. No funding will be provided directly to applicants under this NOFO. Applicants are encouraged to propose omics essays of existing biospecimens collected from individuals with Down syndrome and controls.  The program will accept applications that propose whole genome sequencing, including both short-read and long-read, exome, epigenome, and transcriptome sequencing, as well as proteomic, metabolomic, and single-cell RNA sequencing and ATAC sequencing, when justified. Applicants are encouraged to propose cohorts of underrepresented racial and ethnic groups or to increase racial and ethnic representation of existing collections. The omics data and related phenotypic data will be deposited in a public INCLUDE Project controlled-access database.",Nationwide,Health,none,"Mar 13, 2026 12:00:00 AM EDT"
Alcohol and Other Substance Use Research Education Programs for Health Professionals (R25 Clinical Trial Not Allowed),https://grants.gov/search-results-detail/349692,"The NIH Research Education Program (R25) supports research education activities in the mission areas of the NIH. The over-arching goal of this NIAAA/NIDA R25 program is to support educational activities that foster a better understanding of biomedical, behavioral, and clinical research on alcohol and other substance use disorders and their implications.
To accomplish the stated over-arching goal, this FOA will support creative educational activities with a primary focus on Outreach. Specifically, this FOA will support projects designed to engage practicing health care professionals in education about current and emerging knowledge derived from scientific research on the neurobiology, epidemiology, prevention, and/or treatment of alcohol and other substance use disorders and related health conditions, with the ultimate goal of improving care for individuals who use alcohol and other substances.",Nationwide,Health,250000,"May 25, 2026 12:00:00 AM EDT"
BRAIN Initiative: Targeted BRAIN Circuits Planning Projects  TargetedBCPP (R34 Clinical Trials Not Allowed),https://grants.gov/search-results-detail/337952,"(Reissue of RFA-NS-18-014 and RFA-NS-21-014) This R34 FOA solicits applications that offer a limited scope of aims and an approach that will establish feasibility, validity, or other technically qualifying results that, if successful, would support, enable, and/or lay the groundwork for a potential, subsequent Targeted Brain Circuits Projects - TargetedBCP R01, as described in the companion FOA (RFA-NS-22-026). Applications should be exploratory research projects that use innovative, methodologically-integrated approaches to understand how circuit activity gives rise to mental experience and behavior.",Nationwide,Education,225000,"Oct 02, 2024 12:00:00 AM EDT"
Clinical Trials Development for Co-Occurring Conditions in Individuals with Down syndrome: Phased Awards for INCLUDE (R61/R33 Clinical Trial Required),https://grants.gov/search-results-detail/339232,"The NIH INvestigation of Co-occurring conditions across the Lifespan to Understand Down syndromE (INCLUDE) Project seeks to improve health and quality-of-life for individuals with Down syndrome. This Funding Opportunity Announcement (FOA) encourages Exploratory/Developmental Phased Innovation (R61/R33) grant applications to support development of clinical trials to treat critical and co-occurring health conditions in individuals with Down syndrome. The proposed research aims should be milestone-driven. The total project period for an application submitted in response to this FOA may not exceed five years. This FOA provides support for up to two years (R61 phase) for preliminary/developmental/planning studies, followed by possible transition to clinical trial support (R33) of up to three years, although the total duration of the award may not exceed five years. This FOA requires measurable R61 milestones.",Nationwide,Education,none,"Jul 01, 2024 12:00:00 AM EDT"
Gov. Beshear: $117 Million Federal Award To Increase Access to Capital ...,https://ced.ky.gov/Newsroom/NewsPage/20230227_SSBCI?62,"FRANKFORT, Ky. (Feb. 27, 2023) – Today, Gov. Andy Beshear announced Kentucky will receive a $117 million award to expand access to capital for small businesses across the state through the U.S. Department of Treasury’s State Small Business Credit Initiative (SSBCI). Kentucky will use the award, allocated in three phases over a 10-year period, to launch a suite of initiatives known as the ...",Kentucky,Small Business Grants,,
Humana Foundation | Grant Programs - How to apply for Funding,https://www.humanafoundation.org/grants,The Research grants are currently open by invitation only. Organizations interested in learning more about research grant opportunities or submitting a proposal can start by completing a Contact us form. Find out about the Humana Foundations grant programs and how to apply for a grant for your organization today.,Alabama,Medical Research Grants,,
FY2024 U.S. Consulate General Osaka-Kobe: Ambassador's Youth Council - Kansai Chapter,https://grants.gov/search-results-detail/352077,"The U.S. Consulate General Osaka-Kobe’s Public Affairs Section of the U.S. Department of State announces an open competition for organizations to submit applications to design, implement, and oversee the sixth cohort of the Ambassador’s Youth Council - Kansai Chapter (AYC), a youth leadership program that targets undergraduate students from U.S. Consulate Osaka-Kobe’s consular district who are highly-motivated and who demonstrate leadership and interest in the United States and the U.S.-Japan relationship. Proposals should account for 20 participating students who are engaged in program activities over six months. The majority of programmatic elements should be completed within calendar year 2024. Please carefully follow all instructions in the attachment.",Nationwide,Education,75000,"Mar 31, 2024 12:00:00 AM EDT"
Clinical Studies of Mental Illness (Collaborative R01) (Clinical Trial Optional),https://grants.gov/search-results-detail/344878,"This Funding Opportunity Announcement (FOA) seeks to support collaborative clinical studies, not involving treatment development, efficacy, or effectiveness trials. Primary areas of focus include mental health genetics, biomarker studies, and studies of mental illnesses (e.g., psychopathology, neurodevelopmental trajectories of psychopathology) also when associated with HIV/AIDS. Applicants should apply to this FOA when two or more sites are needed to complete the study. Accordingly, the collaborating studies share a specific protocol across the sites and are organized as such in order to increase sample size, accelerate recruitment, or increase sample diversity and representation. In studies with a large number of sites, it is expected that one site will be submitted as a coordinating R01 for data management and/or other centralized administration.",Nationwide,Health,none,"Jan 07, 2026 12:00:00 AM EST"
Short Courses in Social Determinants of Health for Research Education in Nursing Research (R25 Independent Clinical Trial Not Allowed),https://grants.gov/search-results-detail/350821,"The NIH Research Education Program (R25) supports research education activities in the mission areas of the NIH.  The overarching goal of this R25 program is to support educational activities that complement and/or enhance the training of a workforce to meet the nations biomedical, behavioral and clinical research needs. To accomplish the stated over-arching goal, this FOA will support creative educational activities with a primary focus on: (1) Courses for Skills Development; and (2) Develop and implement a program to prepare nurse scientists, and scientists in aligned fields, to conduct research on the social determinants of health in alignment with the NINR Strategic Plan.",Nationwide,Education,250000,"Jul 01, 2024 12:00:00 AM EDT"
Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R01 Clinical Trial Optional),https://grants.gov/search-results-detail/346550,"The purpose of this funding opportunity announcement (FOA) is to support translational and clinical research to (1) advance precision medicine in pregnant persons, lactating persons, and children through the development of novel tools, models, and other technologies that could have a direct clinical or health impact; (2) enhance the understanding of the underlying mechanisms of drug action, including the role of pediatric ontogeny and the dynamic physiological changes that occur during pregnancy and lactation; and (3) discover and develop novel therapeutics or enhance the usage of existing drugs or drug repurposing for safer and more effective medications in pregnant and lactating persons, neonates, and children. The overall goal is to improve safe and effective precision therapeutics for pregnant and lactating persons, fetuses, neonates, and children, including those with disabilities.",Nationwide,Health,none,"May 07, 2026 12:00:00 AM EDT"
Paul B. Beeson Emerging Leaders Career Development Award in Aging (K76 Clinical Trial Required),https://grants.gov/search-results-detail/346505,"This Funding Opportunity Announcement (FOA) invites early-stage physician and other health professional investigators with a commitment to aging and/or aging-related diseases to apply for this award to advance their research and leadership skills in their specialty and in the broader field of aging and geriatrics research.The National Institute on Aging (NIA) is pursuing this initiative to recruit early-stage investigators who have begun to establish research programs and who, through this award, will be ready to assume leadership roles in their field of expertise and will be poised to change theory, practice, and health outcomes related to the health of older individuals. Unlike other mentored K awards, candidates for this award must have received competitively awarded research support as a Program Director/Principal Investigator (PD/PI) at the faculty level or have otherwise leveraged faculty-level research support to develop an independent line of research. They must show evidence of leadership in the clinical or research domain.",Nationwide,Health,225000,"Oct 18, 2024 12:00:00 AM EDT"
PDS - Annual Program Statement 2023,https://grants.gov/search-results-detail/346249,"PD Chennai is pleased to announce an open competition for non-profit organizations to submit applications to implement programs that foster stronger bilateral and regional ties through diverse public diplomacy programs on topics related to global threats, economic prosperity, regional security in the Indo-Pacific, and shared democratic values. Applications should include and promote increased understanding of U.S. policy and perspectives in the project proposals. 
 
Program Priority Areas: Applications should focus primarily on any one or more of the themes:
 
Theme One: Global Threats
·        Trafficking in Persons (TIP): Programs which raise awareness among vulnerable populations as well as key stakeholders on TIP and share best practices to combat human trafficking.
·        Climate Change: Foster dialogue among key stakeholders, including civil society, about preparedness for climate change-related challenges.
 
Theme Two: Economic Prosperity 
Entrepreneurship: 
·        Promote and support start-up hubs, incubators, business associations and other initiatives which lead to innovation, business, science, and technology cooperation to increase economic opportunities especially for emerging business leaders.
·         Promote projects that enhance women’s participation, promotion, and longevity in the labor force and ability to assume leadership positions.
Education: 
·        Projects that increase access to education and economic opportunity to underserved communities.
·        Projects that promote Science, Technology, Engineering, and Mathematic (STEM) education, including institutional partnerships with a particular focus on women and girls and underserved communities. 
 
Theme Three: Regional Security
·        Programs to promote the U.S.-India partnership and shared goals for the development of the Indo-Pacific region. 
·        Programs that address issues of regional security, including cybersecurity, critical and engineering technologies, and countering violent extremism, as well as exchanges that promote multilateral cooperation and enhance stability in the Indo-Pacific region.
·        Programs to develop social and intellectual connections, creating bridges of understanding and connection among Indo-Pacific countries by providing opportunities for participants to identify and appreciate common values.
 
Theme Four: Shared Democratic Values 
·        Programs which increase the effectiveness of individuals, organizations, and coalitions working to advance and/or advocate for respect and promotion of human rights. 
·        Programs which promote sensitization on Gender Based Violence (GBV) issues.
·        Programs which strengthen and build capacity of local organizations who work on social and economic inclusion of marginalized communities (including the LGBTQ+), to build long-term, self-sustaining relationships within communities and organizations. 
·        Programs related to freedom of the press that improve quality of investigative journalism, transparency, and reinforce journalistic standards to counter disinformation. 
·        Programs that promote pluralism, religious freedom, and social inclusion. ",Nationwide,Business and Commerce,25000,"Feb 28, 2024 12:00:00 AM EST"
Modular R01s in Cancer Control and Population Sciences (R01 Clinical Trial Optional),https://grants.gov/search-results-detail/332086,"This funding opportunity announcement (FOA) encourages applications for research in cancer control and population sciences. The overarching goal is to provide support to promote research efforts on novel scientific ideas that have the potential to substantially advance cancer research in statistical and analytic methods, epidemiology, cancer survivorship, cancer-related behaviors and behavioral interventions, health care delivery, and implementation science.",Nationwide,Education,250000,"Mar 07, 2024 12:00:00 AM EST"
NIH Science Education Partnership Award (SEPA) (R25 - Clinical Trial Not Allowed),https://grants.gov/search-results-detail/347271,"The NIH Research Education Program (R25) supports research education activities in the mission areas of the NIH.  The overarching goal of this R25 program is to support educational activities that encourage individuals from diverse backgrounds, including those from groups underrepresented in the biomedical and behavioral sciences, to pursue further studies or careers in research.",Nationwide,Education,250000,"Jun 06, 2025 12:00:00 AM EDT"
Administrative  Supplements to Promote Diversity in Small Businesses-SBIR/STTR (Admin Supp Clinical Trial Not Allowed),https://grants.gov/search-results-detail/335652,"The National Institutes of Health (NIH) and the Centers for Disease Control and Prevention (CDC) hereby notify Small Business Concerns (SBCs) holding Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) grants that funds are available for administrative supplements to improve the diversity of the research workforce by recruiting and supporting students, postdoctorates, and eligible investigators from groups that have been shown to be nationally underrepresented in health-related research or in the SBIR and STTR programs.  This supplement opportunity is also available to PD(s)/PI(s) of research grants who are or become disabled and need additional support to accommodate their disability in order to continue to work on the research project.  Administrative supplements must support work within the scope of the original project. This Funding Opportunity Announcement (FOA) is designed specifically for applicants proposing research that does not involve leading an independent clinical trial, a clinical trial feasibility study, or an ancillary study to a clinical trial. Applicants to this FOA are permitted to propose research experience in a clinical trial led by a mentor or co-mentor.",Nationwide,Education,none,"Sep 09, 2024 12:00:00 AM EDT"
Transition to Independent Environmental Health Research (TIEHR) Career Award (K01 Independent Basic Experimental Studies with Humans Required),https://grants.gov/search-results-detail/332123,"The Transition to Independent Environmental Health (TIEHR) Career Award is a 3-year bridge scholar development program for newly independent faculty who intend to pursue research careers in environmental health sciences. At the conclusion of the career development period the candidates are expected to demonstrate they can successfully compete for research funding in the environmental health sciences. All applications submitted to this Funding Opportunity Announcement must propose basic science experimental studies involving humans, otherwise referred to in NOT-OD-18-212 as prospective basic science studies involving human participants, that fall within the NIH definition of a clinical trial and also meet the definition of basic research.",Nationwide,Environment,none,"May 07, 2024 12:00:00 AM EDT"
Tribal Behavioral Health,https://grants.gov/search-results-detail/346797,"The purpose of this program is to prevent and reduce suicidal behavior and substance use/misuse, reduce the impact of trauma, and promote mental health among American Indian/Alaska Native (AI/AN) youth, up to and including age 24, by building a healthy network of systems, services, and partnerships that impact youth. SAMHSA expects this program will be a model for community change that integrates a community’s culture, resources, and readiness to address suicide prevention and substance use/misuse among AI/AN youth.

This NOFO will be open for FY 2024 and FY 2025.

The following are the due dates for each FY:

FY 2023: Applications are due by May 15, 2023 (Closed)
FY 2024: Applications are due by March 6, 2024
FY 2025: Applications are due by March 6,, 2025


Applications submitted by the due date will be reviewed and funding decisions will be made by the end of the FY.

Applicants that do not receive funding are eligible to apply for the following fiscal year.",Nationwide,Health,250000,"Mar 06, 2025 12:00:00 AM EST"
20 Scholarships for Music Students to Apply For in 2024,https://scholarshipinstitute.org/scholarships-for-music-students/,"Open to high school seniors, juniors, and graduate students enrolled in a college or university in Missouri or Illinois. It is also available to college or university undergraduate students in Missouri or Illinois. Amount: $2,000; Application Deadline: August 1, 2022; Winner Announced: August 31, 2022",Illinois,High School/College Student Grants,,
13 Scholarships & Grants for Nursing Students to Apply For in 2024,https://scholarshipinstitute.org/nursing-scholarships/,"Any high school senior, undergraduate, or graduate student who’s a US citizen or permanent legal resident and passionate about health and wellness may apply for this award. Bold Mental Health Awareness Scholarship. Amount: $500; Application Deadline: June 24, 2022",Illinois,High School/College Student Grants,,
IDeA Networks of Biomedical Research Excellence (INBRE) (P20 Clinical Trial Optional),https://grants.gov/search-results-detail/345987,"The National Institute of General Medical Sciences (NIGMS) invites applications for Institutional Development Award (IDeA) Networks of Biomedical Research Excellence (INBRE) awards from investigators at biomedical research institutions that award doctoral degrees in the health sciences or sciences related to health or at independent biomedical research institutes with ongoing biomedical research programs funded by the NIH or other Federal agencies within the IDeA- eligible states. The purpose of the INBRE program is to augment and strengthen the biomedical research capacity of IDeA-eligible states. The INBRE program represents a collaborative effort to sponsor research between research intensive institutions and primarily undergraduate institutions, community colleges, and Tribally Controlled Colleges and Universities (TCCUs), as appropriate.",Nationwide,Health,none,"May 22, 2025 12:00:00 AM EDT"
Engaging Survivors of Sexual Violence and Trafficking in HIV and Substance Use Disorder Services (R34 Clinical Trial Optional),https://grants.gov/search-results-detail/349938,"The goal of this concept is to support exploratory research and preliminary interventions to address the interrelated and compounding contextual factors that contribute to substance use and HIV risk among sexual trafficking survivors. This would be accomplished through research that builds new interventions and models of care that can effectively engage ST survivors in care for SUD, HIV, trauma, and other mental health outcomes and addresses key structural and social determinants of health that contribute to risk for ST as well as barriers to and facilitators of escaping continued exploitation.",Nationwide,Education,none,"Aug 05, 2024 12:00:00 AM EDT"
Implementation Research on Noncommunicable Disease Risk Factors among Low- and Middle-Income Country and Tribal Populations Living in City Environments (R01 Clinical Trial Optional),https://grants.gov/search-results-detail/351455,"The National Institutes of Health (NIH) participating Institutes and Centers (ICs), in collaboration with the Global Alliance for Chronic Diseases (GACD), invite applications for implementation research focused on addressing risk factors for common noncommunicable diseases (NCDs) in World Bank-defined low- and middle-income countries (LMICs) and American Indian/Alaska Native (AI/AN) Tribal Nation populations in the United States. This Funding Opportunity Announcement (FOA) supports innovative approaches to identifying, understanding, developing, and implementingstrategies for overcoming barriers to the adoption, adaptation, integration, scale-up, and sustainability of evidence-based interventions, tools, policies, and guidelines. In addition, studies to advance dissemination and implementation research methods and measures into application are encouraged. Specifically, this FOA invites applications that propose implementation research targeted to reducing the risks of NCDs in the context of cities in LMICs and/or among AI/AN Tribal Nation populations in cities in the United States, with the potential to equip policymakers and practitioners with evidence-based strategies for prevention and/or management of NCDs among disadvantaged populations globally. In the context of this FOA, ""cities"" include urban centers, informal settlements and slums, and periurban areas.",Nationwide,Environment,none,"Mar 11, 2024 12:00:00 AM EDT"
Understanding Chronic Conditions Understudied Among Women (R01 Clinical Trial Optional),https://grants.gov/search-results-detail/346672,"The purpose of this Funding Opportunity Announcement (FOA) is to invite R01 applications on chronic conditions understudied among women and/or that disproportionately affect populations of women who are understudied, underrepresented, and underreported in biomedical Research should align with Goal 1 of the 2019-2023 Trans-NIH Strategic Plan for Women's Health Research ""Advancing Science for the Health of Women."" The awards under this FOA will be administered by NIH ICs using funds that have been made available through the Office of Research on Womens Health (ORWH) and the scientific partnering Institutes and Centers across NIH.",Nationwide,Education,350000,"Jun 20, 2024 12:00:00 AM EDT"
Development of Psychosocial Therapeutic and Preventive Interventions for Mental Disorders (R33 Clinical Trial Required),https://grants.gov/search-results-detail/331832,"This is a reissue of RFA-MH-18-705: Development of Psychosocial Therapeutic and Preventive Interventions for Mental Disorders (R33 Clinical Trial Required). As part of NIMH's clinical trials pipeline, this FOA encourages pilot research developing and testing novel psychosocial interventions and/or targets. Consistent with NIMH's emphasis on the experimental therapeutics approach to intervention development, it intends to speed the translation of emergent research in basic, behavioral, cognitive, affect, and neuropsychological science into preventative or therapeutic interventions. This RFA will provide up to three years of support to replicate target engagement from prior studies and to test the association between target engagement and change in clinical outcome(s).",Nationwide,Health,none,"Oct 15, 2024 12:00:00 AM EDT"
Dissemination and Implementation Research in Health (R03 Clinical Trial Not Allowed),https://grants.gov/search-results-detail/340214,"The purpose of this Funding Opportunity Announcement (FOA) is to support studies that will identify, develop, and/or test strategies for overcoming barriers to the adoption, adaptation, integration, scale-up, and sustainability of evidence-based interventions, practices, programs, tools, treatments, guidelines, and policies. Studies that promote equitable dissemination and implementation of evidence-based interventions among underrepresented communities are encouraged. Conversely, there is a benefit in understanding circumstances that create a need to stop or reduce (de-implement) the use of practices that are ineffective, unproven, low-value, or harmful. In addition, studies to advance dissemination and implementation research methods and measures are encouraged. All applications must be within the scope of the mission of one of the Institutes/Centers listed above.",Nationwide,Education,none,"May 07, 2025 12:00:00 AM EDT"
